,id,beds,baths,rating,reviews,capacity,title,revenue,occ,adr,lat,lng
0,abnb_50711767,0,1.0,4.6,57,2,GuestReady Holiday Homes - Knights Of The Sky,221157.17,81.63,816.08,25.19047,55.28198
0,abnb_740596337126053457,0,1.0,4.5,31,2,LUXFolio Retreats | Full Sea Marina & Palm View,220664.99,81.15,742.98,25.13102,55.15407
0,abnb_769236578255128591,0,1.0,4.8,8,2,KascoHomes STU Deluxe Apartment,218174.71,87.47,694.82,25.18445,55.28302
0,abnb_698861584196353564,0,1.0,5.0,1,2,Address Dubai Mall Residence 5 stars Studio,215126.15,71.22,1086.5,25.19896,55.27657
0,vrbo_3194701,0,1.0,,0,2,Studio in The Address Dubai Mall,213436.58,79.75,1105.89,25.199843,55.277452
0,abnb_785135080245863418,0,1.0,5.0,1,2,Address Dubai Mall Residence Largest Studio,210604.71,58.86,1196.62,25.19925,55.27666
0,abnb_960693109895241969,0,1.0,4.0,3,2,Elegant Studio Apartment in  Park View Tower JVC,207849.98,38.28,4241.84,25.0543,55.2031
0,abnb_651811687880199408,0,1.0,4.2,6,4,Address Dubai Mall Residence 5 stars studio,203725.23,68.18,1131.81,25.19997,55.27631
0,abnb_36601083,0,1.0,3.6,3,2,Address Dubai Mall Residence 5 stars studio 118182,203684.83,61.95,1106.98,25.19876,55.27694
0,abnb_882343546123129717,0,1.0,,,2,Address Dubai Mall Residence Largest studio,202836.37,51.58,1244.39,25.20058,55.27869
0,abnb_886246174918770632,0,1.0,4.8,43,2,luxury Suite JW Marriot Marina .,197991.72,69.03,814.78,25.07674,55.13977
0,abnb_53835871,0,1.0,5.0,3,2,Marina View Studio in Marina Mall Hotel,196728.21,84.44,647.13,25.0764,55.1405
0,abnb_44302977,0,1.0,5.0,3,2,Address Dubai Mall Residence 5 stars Studio 528096,196467.43,57.79,1103.75,25.19898,55.27656
0,abnb_629258219420464917,0,1.0,4.5,2,3,Seaview Studio Anantara Resort Private beach &pool,195912.81,78.46,768.29,25.1313,55.153
0,abnb_769243275763267793,0,1.0,4.4,3,2,Kasco Homes - Classic Studio,195732.84,90.2,607.87,25.18358,55.28481
0,abnb_990370457708722028,0,1.0,5.0,17,2,GuestReady Holiday Homes - Glowing spot in JVC,195075.38,91.7,882.69,25.055736854,55.205612116
0,abnb_886255504080768272,0,1.0,4.9,28,2,Address Dubai Marina · Luxe Studio,192001.1,68.48,803.35,25.07663,55.14135
0,abnb_674225936785733913,0,1.0,3.8,5,2,Address Dubai Mall Residence 5 stars Studio,190260.11,64.34,1087.2,25.19922,55.27703
0,abnb_44302890,0,1.0,5.0,2,2,Address Dubai Mall Residence 5 stars Studio 531095,190094.82,57.64,1145.15,25.19963,55.27708
0,abnb_882473978037119028,0,1.0,,,2,Address Dubai Mall Residence 5 stars Studio.,189834.04,54.21,1091.0,25.20032,55.27707
0,abnb_888253064059875163,0,1.0,4.8,19,2,Silkhaus Spacious Studio | Burj Khalifa nearby,189378.59,87.01,614.87,25.192,55.27418
0,abnb_41740263,0,1.0,5.0,5,2,Address Dubai Mall Residence 5 stars Studio 236158,187597.2,57.76,1071.98,25.1989,55.27809
0,abnb_36466332,0,1.0,4.0,16,2,Big studio at Address Dubai Mall Residence 329093,187262.96,64.36,1057.98,25.19708,55.27348
0,abnb_560522247760723430,0,2.5,5.0,1,2,1BR|Marina Spectacle|Emaar Residence Marina,186594.48,89.22,1025.24,25.07652,55.13976
0,abnb_759244762219368560,0,1.0,3.0,1,2,Kasco Homes Studio Apartment Meydan View,184578.01,88.17,619.39,25.18405,55.28304
0,abnb_771699325094403959,0,1.0,,,2,Kasco Homes - Cozy Studio Apartment,183468.77,77.17,687.15,25.18409,55.28412
0,abnb_882242924549530046,0,1.0,4.0,1,2,Big studio and Address Dubai Mall Residence,179307.29,58.27,1106.84,25.19995,55.278
0,abnb_40779092,0,1.0,4.4,5,2,Address Dubai Mall Residence 5 stars studio 129154,178796.75,64.03,1004.48,25.19917,55.27816
0,abnb_25560885,0,1.0,4.3,26,4,Address Dubai Mall Residence LARGEST studio 329201,177885.85,65.8,1170.3,25.1991,55.2767
0,abnb_44302919,0,1.0,,,2,Address Dubai Mall Residence 5 stars Studio 528125,177320.21,53.5,1158.96,25.20043,55.278
0,abnb_44137489,0,1.0,,,2,Address Dubai Mall Residence 5 stars Studio 518197,174660.98,50.53,1221.41,25.19919,55.27841
0,abnb_31456748,0,1.0,4.6,18,2,Address Dubai Mall Residence 5 stars studio 330123,174014.54,53.08,1260.97,25.20014,55.27795
0,abnb_759258829136256371,0,1.0,5.0,1,2,Kasco Homes - Deluxe Studio,173654.59,80.39,705.91,25.1838,55.2839
0,abnb_759247403523154651,0,1.0,3.8,4,2,Kasco Homes Classic Studio Apartment,172938.35,88.62,600.48,25.18482,55.27515
0,abnb_975278063437963029,0,1.0,4.6,27,2,GuestReady - Canal-side Comfort in Business Bay,172622.48,83.74,713.32,25.187344969,55.286856234
0,abnb_896958769311352710,0,1.0,4.6,29,2,Modern Studio w/ Tranquil Burj Khalifa Views!,172438.83,70.2,684.28,25.20021,55.27672
0,abnb_769248964098682161,0,1.0,5.0,4,2,Kasco Homes Studio Pool View,172189.07,90.0,617.17,25.18287,55.28337
0,abnb_54136579,0,5.0,,,2,2BR|Marina Wow View|Emaar Residence Marina,171829.12,64.89,1408.44,25.07404,55.14001
0,abnb_882367509366296719,0,1.0,,,2,Address Dubai Mall Residence Largest studio,170415.02,47.87,1167.23,25.20089,55.27778
0,abnb_52588972,0,1.0,4.8,42,4,Brand New 5* Luxury Apartment in Address Jbr,169955.9,93.59,582.04,25.07148,55.12689
0,abnb_1192582586783804551,0,1.0,,,2,Cosy studio in Palm Jumeirah,168402.23,57.06,868.05,25.113339271,55.140820254
0,abnb_53039018,0,1.0,4.9,67,4,LUX | The Cayan Superior Suite 2 in Dubai Marina,168325.1,82.24,559.22,25.0877,55.146
0,abnb_857703156724549189,0,1.0,5.0,2,2,Seaview Studio in The Palm Tower by St. Regis,167913.73,59.46,848.05,25.1138,55.1402
0,abnb_9918276,0,1.0,4.8,185,4,Spacious Sea View studio at the beach Jbr,167179.13,89.5,544.56,25.0799,55.137
0,abnb_771742770459638748,0,1.0,5.0,1,2,Kasco Homes - Studio Partial Meydan & Canal view,167013.85,78.71,684.48,25.18389,55.28465
0,abnb_803631239061390097,0,1.0,4.4,25,2,LUXFolio Retreats | Luxury Studio Apartment,166911.0,78.81,632.24,25.18478,55.2745
0,abnb_755589646531882813,0,1.0,4.8,20,2,Silkhaus Near Beach Studio | Palm View,166514.32,82.54,596.83,25.116499452,55.136699658
0,abnb_996158675520589056,0,1.0,4.8,17,2,GuestReady - Oxford's Pool View Serenity,165665.86,90.77,701.97,25.066935599,55.205711229
0,abnb_42130852,0,1.0,4.6,36,2,"Club Vista Mare, free Riva beach club access",165427.12,87.83,619.58,25.115,55.1426
0,abnb_611993696452706170,0,1.0,1.0,1,4,Address Dubai Mall Residence LARGEST studio 336131,165394.06,58.76,1027.29,25.19242,55.27917
0,abnb_753474310862352448,0,1.0,4.7,64,2,Sunset views studio next to yacht marina,164288.5,84.2,560.71,25.1159,55.135
0,abnb_862729644485138616,0,1.0,3.0,2,2,Prime Location Studio with Burj Khalifa Views,164189.33,50.96,1032.64,25.1998,55.2775
0,abnb_1044855494284485012,0,1.0,4.6,14,2,Studio in Address Dubai Mall w/ Burj Khalifa,163733.88,69.45,679.39,25.199011388,55.278230851
0,abnb_687361465331710113,0,1.0,3.6,3,3,Address Dubai mall Balcony Burj view,162914.81,82.42,598.95,25.20041,55.27667
0,abnb_744733359007889880,0,1.0,4.4,38,2,Silkhaus Sea View Studio | Holiday Vibes,162426.3,79.78,571.92,25.11379,55.13946
0,abnb_758294150170272967,0,1.0,5.0,8,2,Luxury Studio w/ Dreamy Views over Palm Jumeirah,161985.54,77.91,805.9,25.11478,55.13915
0,abnb_875728553511312008,0,1.0,5.0,1,2,Seaview Studio in The Palm Tower by St. Regis,161845.97,55.13,860.88,25.1135,55.14
0,abnb_823530446053276052,0,1.0,5.0,42,2,Scenic view studio/Dubai Marina,161412.56,62.85,717.39,25.0775,55.1403
0,abnb_1100602457340958422,0,1.0,,,2,Lush Studio in Studio One Dubai Marina,160567.78,64.84,713.63,25.0693,55.1285
0,abnb_54136584,0,2.5,4.8,5,2,1BR|City View|Emaar Residence Marina,157970.98,78.65,1046.17,25.07509,55.14117
0,abnb_882425124272658634,0,1.0,5.0,1,2,Address Dubai Mall Residence 5 stars studio,157526.55,45.98,1101.58,25.19898,55.27803
0,abnb_560522282451157423,0,2.5,5.0,1,2,1BR|Marina Delight|Emaar Residence Marina,156604.64,85.14,1051.04,25.07618,55.13994
0,abnb_730204850788792312,0,1.0,4.8,41,3,GuestReady - Earth Melodies in Dubai Marina,156329.16,70.04,868.5,25.08368,55.14201
