prop_name,area1,lat,lng
Venetian, Canal Residence,25.0381813,55.22157669
Seven Palm, Palm Jumeirah,25.11219597,55.13863373
Signature Livings, Jumeirah Village Circle,25.06554222,55.20695114
Azizi Riviera 31, Meydan One,25.17122841,55.30613708
Bella Rose, Al Barsha South,25.07010078,55.24627304
Farhad Azizi Residence, Al Jaddaf,25.20907402,55.31494141
Prime Gardens, Arjan,25.06271362,55.23529434
Bloom Heights A, Bloom Heights,25.05625343,55.20370483
Celia Residence, Dubai Studio City,25.02955055,55.23680115
Maple 2, Emirates Gardens 2,25.04800034,55.2051239
AZIZI Riviera, Meydan One,25.17372894,55.31093979
Uniestate Supreme Residence, Arjan,25.06433105,55.23353577
Elite Downtown Residence, Downtown Dubai,25.18616676,55.27797318
Aykon City Tower C, Aykon City,25.18020248,55.25243378
Reef Residence, District 13,25.04761887,55.21099854
Azizi Riviera 45, Meydan One,25.17266464,55.31017303
Lincoln Park - Sheffield, Lincoln Park,25.06207466,55.24021912
AZIZI Berton, Al Furjan,25.02001953,55.15016174
Bloom Towers B, Bloom Towers,25.0670681,55.20346451
Bayz by Danube, Business Bay,25.18086052,55.27929688
DAMAC Majestine, Business Bay,25.18657303,55.28207016
Oxford 212, Jumeirah Village Circle,25.0676384,55.20666122
Maple 1, Emirates Gardens 2,25.04747009,55.20494843
Celestia A, Celestia,24.94860458,55.20293045
Viridis B, Viridis Residence and Hotel Apartments,24.98417091,55.39294052
Golf Vista 1, Golf Vista,25.0210495,55.25544357
Laya Heights, Dubai Studio City,25.0413475,55.24634171
Rose 2, Emirates Gardens 1,25.0523262,55.21482849
MAG Eye, District 7,25.14514542,55.28521347
Hyati Avenue, Jumeirah Village Circle,25.04640388,55.20181274
IC1-EMR-17, Emirates Cluster,25.16126823,55.4235878
Bloom Towers C, Bloom Towers,25.06753159,55.20383453
Ahad Residences, Business Bay,25.18654633,55.26575851
PRIVE BY DAMAC (A), DAMAC Maison Privé,25.18438339,55.27534866
Azizi Riviera 23, Meydan One,25.17352486,55.3068924
Atria SA, Atria Residences,25.18064117,55.26358032
Ghalia, District 18,25.05271339,55.19936752
Azizi Aura, Jebel Ali,24.97840881,55.09212112
Pantheon Elysee II, Jumeirah Village Circle,25.05144882,55.21715164
Carson A, Carson,25.02408791,55.24290466
Artesia C, Artesia,25.02044678,55.24495316
Candace Acacia, Azizi Residence,25.02619171,55.15694809
Lakeside Tower B, Lakeside Residence,25.03563881,55.20144272
The Cosmopolitan, Business Bay,25.1877079,55.26765823
Lincoln Park A, Lincoln Park,25.06077957,55.23719406
Azizi Riviera 21, Meydan One,25.1729908,55.30544281
Luma 22, Jumeirah Village Circle,25.06668854,55.20631409
Lakeside Tower D, Lakeside Residence,25.03680229,55.20090866
LOCI Residences, Jumeirah Village Circle,25.05031395,55.20128632
Al Ghaf 1, Arjan,25.05932808,55.2407341
Luma21, Jumeirah Village Circle,25.05087471,55.20524216
Aykon City Tower B, Aykon City,25.18015099,55.25241852
Lake Terrace, JLT Cluster D,25.06992912,55.14102554
Studio One, Dubai Marina,25.06893349,55.1288147
Liberty House, DIFC,25.20949936,55.2767601
Al Waleed Garden 2, Al Waleed Garden,25.21060371,55.31733322
The Neighbourhood, Al Barari,25.1004734,55.31365585
AZIZI Riviera 39, Meydan One,25.17382431,55.3100853
Carson C, Carson,25.02541733,55.24445724
Azizi Star, Al Furjan,25.02526283,55.13874817
Royal Residence 1, Royal Residence,25.03254128,55.22251511
Upper Crest, Downtown Dubai,25.19364166,55.28466034
National Bonds Residence, Jumeirah Village Circle,25.05653191,55.19870758
Olivz Residence, International City,25.1679306,55.39625549
Lawnz by Danube Block 2, Lawnz by Danube,25.15371323,55.40954971
Glamz by Danube, Glamz,25.03456306,55.14246368
Laya Mansion, Jumeirah Village Circle,25.06728554,55.20940399
Marina View Tower A, Marina View,25.07896614,55.14255905
Regina Tower, Jumeirah Village Circle,25.05712891,55.21205139
UPSIDE Living, Business Bay,25.18527985,55.2898674
The Royal Oceanic, Oceanic,25.08439636,55.14204025
AZIZI Riviera 13, Meydan One,25.17265129,55.30793762
Park Tower A, Park Towers,25.20922661,55.27855301
Oxford Residence 2, Jumeirah Village Circle,25.06625175,55.2079277
Arabian Gate, Dubai Silicon Oasis,25.12311363,55.39863586
RP Heights, Downtown Dubai,25.19486427,55.28451157
Oxford Terraces, District 11,25.062397,55.20877075
Elite Business Bay Residence, Business Bay,25.1798687,55.26544571
Skycourts Tower F, Skycourts Towers,25.09024811,55.38580704
AZIZI Riviera 34, Meydan One,25.17292213,55.31005478
Mirdif Tulip, Mirdif,25.22045135,55.44061661
Giovanni Boutique Suites, Dubai Sports City,25.03190231,55.22307968
The Matrix, Dubai Sports City,25.03906631,55.2206955
The White Palace, Dubai Silicon Oasis,25.12506676,55.40278244
O2 Tower, Jumeirah Village Circle,25.04687309,55.20491791
